,ID,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1986,1987,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 22:30:00,08h 25m,2024-07-17 06:55:00,2.7,790.00,21
1987,1988,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:45:00,08h 30m,2024-07-17 06:15:00,2.9,550.00,34
1988,1989,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:30:00,08h 00m,2024-07-17 05:30:00,2.9,450.00,24
1989,1990,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 23:05:00,07h 55m,2024-07-17 07:00:00,2.6,790.00,25
1990,1991,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SVR Tours and Travels,Volvo Multi Axle Sleeper B11R (2+1),2024-07-17 23:45:00,07h 45m,2024-07-17 07:30:00,2.5,900.00,13
1991,1992,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 23:20:00,07h 10m,2024-07-17 06:30:00,2.5,470.00,17
1992,1993,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Morning Star Travels,A/C Sleeper (2+1),2024-07-17 00:55:00,06h 50m,2024-07-17 07:45:00,2.4,990.00,11
1993,1994,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Venkataramana Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:15:00,09h 45m,2024-07-17 05:00:00,2.6,495.00,17
1994,1995,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Nani’s Sai Krishna Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:00:00,08h 15m,2024-07-17 05:15:00,2.3,535.00,22
1995,1996,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri VInayaka Travels(Siva's),A/C Seater / Sleeper (2+1),2024-07-17 23:00:00,07h 20m,2024-07-17 06:20:00,2.9,549.00,17
1996,1997,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Mayuri Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:40:00,07h 20m,2024-07-17 07:00:00,2.6,603.00,19
1997,1998,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:40:00,07h 20m,2024-07-17 07:00:00,2.7,428.00,19
1998,1999,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Venkataramana Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:30:00,09h 41m,2024-07-17 05:11:00,2.2,495.00,16
1999,2000,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,A/C Sleeper (2+1),2024-07-17 01:00:00,07h 15m,2024-07-17 08:15:00,1.9,960.00,25
2000,2001,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Navayuga Travels,A/C Sleeper (2+1),2024-07-17 19:00:00,10h 10m,2024-07-17 05:10:00,2.1,890.00,19
2001,2002,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,LAVYASRI Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:40:00,07h 20m,2024-07-17 05:00:00,2.4,469.00,18
2002,2003,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 21:15:00,07h 45m,2024-07-17 05:00:00,2.8,1200.00,29
2003,2004,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:40:00,07h 20m,2024-07-17 07:00:00,2.8,556.00,26
2004,2005,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,LAVYASRI Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:25:00,07h 35m,2024-07-17 05:00:00,2.5,470.00,19
2005,2006,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Dhanalakshmi Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:45:00,08h 15m,2024-07-17 04:00:00,2.4,2000.00,41
2006,2007,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,NON A/C Sleeper (2+1),2024-07-17 20:40:00,08h 30m,2024-07-17 05:10:00,2.8,720.00,16
2007,2008,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:10:00,10h 40m,2024-07-17 05:50:00,2.7,549.00,18
2008,2009,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,New Sindhu Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:13:00,08h 47m,2024-07-17 04:00:00,1.4,610.00,22
2009,2010,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:15:00,08h 45m,2024-07-17 04:00:00,2.7,470.00,15
2010,2011,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SJR TRAVELS,Non A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,08h 20m,2024-07-17 06:20:00,1.5,713.00,29
2011,2012,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RUDRA TOURS & TRAVELS,NON A/C Seater/ Sleeper (2+1),2024-07-17 19:30:00,08h 45m,2024-07-17 04:15:00,2.5,599.00,38
2012,2013,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,07h 45m,2024-07-17 07:15:00,2.7,799.00,17
2013,2014,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RUDRA TOURS & TRAVELS,NON A/C Seater/ Sleeper (2+1),2024-07-17 20:15:00,08h 00m,2024-07-17 04:15:00,2.5,599.00,11
2014,2015,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Dhanalakshmi Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:00:00,08h 00m,2024-07-17 05:00:00,2.4,666.00,11
2015,2016,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:50:00,07h 05m,2024-07-17 05:55:00,2.3,570.00,20
2016,2017,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri VInayaka Travels(Siva's),NON A/C Sleeper (2+1),2024-07-17 22:00:00,09h 10m,2024-07-17 07:10:00,2.9,649.00,19
2017,2018,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri VInayaka Travels(Siva's),NON A/C Sleeper (2+1),2024-07-17 22:10:00,08h 20m,2024-07-17 06:30:00,2.9,599.00,18
2018,2019,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),2024-07-17 20:45:00,07h 15m,2024-07-17 04:00:00,2.8,1400.00,13
2019,2020,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:40:00,07h 20m,2024-07-17 07:00:00,2.8,699.00,20
2020,2021,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,07h 45m,2024-07-17 07:15:00,2.7,799.00,42
2021,2022,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RUDRA TOURS & TRAVELS,NON A/C Seater/ Sleeper (2+1),2024-07-17 20:45:00,08h 15m,2024-07-17 05:00:00,2.5,599.00,14
2022,2023,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Dhanalakshmi Travels,A/C Sleeper (2+1),2024-07-17 19:40:00,08h 50m,2024-07-17 04:30:00,2.4,2000.00,30
2023,2024,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,VENKATA VYSHNAVI TRAVELS,NON A/C Sleeper (2+1),2024-07-17 20:40:00,08h 30m,2024-07-17 05:10:00,2.2,720.00,15
2024,2025,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Navayuga Travels,NON AC Seater / Sleeper 2+1,2024-07-17 20:50:00,06h 40m,2024-07-17 03:30:00,2.1,799.00,25
2025,2026,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RAJULATALLI TRAVELS,NON A/C Semi Sleeper (2+2),2024-07-17 20:30:00,08h 30m,2024-07-17 05:00:00,0.0,5000.00,40
2026,2027,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,LOKSHITHA SREE TRAVELS,NON A/C Seater (2+2),2024-07-17 20:30:00,09h 00m,2024-07-17 05:30:00,0.0,1900.00,27
2027,2028,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),2024-07-17 22:30:00,07h 30m,2024-07-17 06:00:00,2.3,600.00,6
2028,2029,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:20:00,06h 40m,2024-07-17 04:00:00,2.7,899.00,9
2029,2030,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),2024-07-17 22:50:00,06h 40m,2024-07-17 05:30:00,2.7,699.00,8
2030,2031,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 2887,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 19:30:00,04h 25m,2024-07-17 23:55:00,3.9,260.00,33
2031,2032,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 6374,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 19:55:00,04h 00m,2024-07-17 23:55:00,3.9,263.00,33
2032,2033,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 23971,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 20:00:00,03h 30m,2024-07-17 23:30:00,3.9,260.00,30
2033,2034,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 3479,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 20:00:00,04h 20m,2024-07-17 00:20:00,3.9,263.00,33
2034,2035,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 2809,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 20:30:00,03h 50m,2024-07-17 00:20:00,3.9,260.00,33
2035,2036,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 3456,INDRA(A.C. Seater),2024-07-17 20:30:00,04h 00m,2024-07-17 00:30:00,3.9,318.00,37
2036,2037,APSRTC,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,APSRTC - 9478,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 20:45:00,03h 19m,2024-07-17 00:04:00,3.9,261.00,33
